seed_url,display_name,edge_type,edges,distinct_users,top_users
https://github.com/google-deepmind/alphafold,AlphaFold 2,opened_prs,80,80,achawlaa|Russ-Peter|vignesh1507|jimmy-evo|praharsh777
https://github.com/google-deepmind/alphafold,AlphaFold 2,opened_issues,91,91,taisom27|GMNGeoffrey|raouf-keskes|vineeshsriramoju|yifeng-evo
https://github.com/google-deepmind/alphafold,AlphaFold 2,reviewed_prs,2,2,Vincy1230|curtisdow1973-sys
https://github.com/google-deepmind/alphafold,AlphaFold 2,commented_on,131,131,MominIqbal-1234|Zhang038|sukrucildirr|turtlecrk|jiangandrew
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,opened_prs,15,15,abxka|eltociear|shawncal|andreasntr|ghbhc
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,opened_issues,87,87,AIM132|1000000000000000000000000000000|yoavatsmonraz|gancho-ivanov|Joseph-Vineland
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,reviewed_prs,0,0,
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,commented_on,107,107,ragunyrasta|APengs494|esun0087|momodesuka|james-vincent
https://github.com/aqlaboratory/openfold,OpenFold,opened_prs,40,40,gahdritz|mattwthompson|josemduarte|WUBIN10086|Jiangdaoyin92
https://github.com/aqlaboratory/openfold,OpenFold,opened_issues,79,79,DieHof|pikruse|cpplyqz|VarunUllanat|yuzimu1
https://github.com/aqlaboratory/openfold,OpenFold,reviewed_prs,9,9,dingquanyu|christinaflo|etowahadams|jnwei|ljarosch
https://github.com/aqlaboratory/openfold,OpenFold,commented_on,78,78,tyler-hayes|cyrpaut|sachinkadyan7|happy-nozaki|jasonkim8652
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,opened_prs,6,6,hanjinliu|zhangjun841013|sokrypton|jnooree|hazemessamm
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,opened_issues,54,54,joonp9|benoitgaujac|linkerst|ArnNag|xvtyzn
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,reviewed_prs,4,4,RuiWang1998|Zuofan-Wu|xiwen1995|mooninrain
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,commented_on,53,53,smilenaderi|jnooree|nope-sto|RuiWang1998|OtakuOW
